state_code1,state_code2,state_name
01,KLMAIN,Kuala Lumpur Main
02,FT,"Putrajaya, Kuala Lumpur"
03,JHR,Johor
04,KDH,Kedah
05,KLTN,Kelantan
06,MCCA,Melaka
07,NS,Negeri Sembilan
08,PHG,Pahang
09,PLS,Perlis
10,PP,Pulau Pinang
11,PRK,Perak
12,SBH,Sabah
13,SGOR,Selangor
14,SWK,Sarawak
15,TGANU,Terengganu
