branch_code,branch_name,branch_address,fbank_code,fstate_code2
14851,Alam Damai,"No 48 & 50, Jalan Alam Damai 1, Cheras 56000 Kuala Lumpur",101,FT
14842,Sri Petaling,"No. 15 & 17, Jalan Radin Anum,
Bandar Baru Seri Petaling, 57000
Kuala Lumpur",101,FT
14758,Taman Cheras Makmur ,"Lot 10 & 12 Jalan 5/101C
Jalan Kaskas 1
Batu 6 Jalan Cheras
56000 Kuala Lumpur",101,FT
14767,Bandar Sri Permaisuri ,"No 59 Grd, 1st and 2nd Floor
Jalan Sri Permaisuri 8
Bandar Sri Permaisuri
56000 Kuala Lumpur",101,FT
14815,"Seksyen 5, Wangsa Maju ","No. 2 & 2A, Ground & 1st Floor,
Jalan Wangsa Delima 11,
D\Wangsa, KLSC Wangsa Maju, 53300
Kuala Lumpur",101,FT
14785,Taman Connaught ,"No 1 Jalan Menara Gading 1
Off Lebuhraya Timur Barat
Cheras
56340 Kuala Lumpur",101,FT
14897,Mont Kiara ,"11, 13 & 15, Ground & First Floor, Jalan Solaris 1, Mont Kiara, 50480, Kuala Lumpur",101,FT
14927,"Menara Felda, Platinum Park","Level 1, Menara Felda Platinum Park, 11 Persiaran KLCC, 50088 KL",101,FT
12174,Bandar Baru Ampang ,"20G - 28G, Jalan Wawasan 4/5,
Bandar Baru Ampang,
68000 Ampang
Selangor",101,SGOR
12268,Bandar Baru Bangi,"No. 2, Jalan 6C/16,
Section 16,
Bandar Baru Bangi,
46650 Kajang
Selangor",101,SGOR
12053,Banting,"No.416, 418, & 420,
Jalan Jugra,
42700 Banting
Selangor",101,SGOR
14196,Damansara Utama ,"62-66, Jalan SS21/35,
Damansara Utama,
47400 Petaling Jaya
Selangor",101,SGOR
6061,Genting Highlands ,"2nd Floor, Genting Hotel Building,
Pejabat Pos Genting Highlands,
Genting Highlands,
Selangor-Pahang Border,
69000 Genting Highlands,
Selangor",101,SGOR
14301,Jalan 222,"11, Jalan 51A/222,
46100 Petaling Jaya,
P.O. Box 6535,
47307 Petaling Jaya
Selangor",101,SGOR
12352,Kelana Jaya ,"115-117, Block E,
Kelana Park View,
No. 1, Jalan SS6/2,
Kelana Jaya,
47301 Petaling Jaya
Selangor",101,SGOR
